title,language,country,id,year,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,id,abstract
A stimulating way to improve T cell responses to poxvirus-vectored vaccines.,eng,United States,45726,2010,Isaacs,Stuart N,SN,Isaacs,Stuart N,SN,45726,"Vaccines remain one of the most cost-effective public health measures. Despite ongoing efforts, protective vaccines against cancer and many infectious diseases, including malaria, tuberculosis, and HIV/AIDS, are still not in hand. Most investigators believe that to succeed against these difficult targets, vaccines that generate potent T cell responses are needed. In this issue of the JCI, Salek-Ardakani et al. show how the relative virulence of a virus/vaccine vector affects the memory CD8+ T cells generated and how the response may be enhanced. The work has important implications for the development of future vaccines that aim to trigger CD8+ T cell responses."
Experimental human challenge infections can accelerate clinical malaria vaccine development.,eng,England,nri2902,2010,Sauerwein,Robert W,RW,Moorthy,Vasee S,VS,nri2902,"Malaria is one of the most frequently occurring infectious diseases worldwide, with almost 1 million deaths and an estimated 243 million clinical cases annually. Several candidate malaria vaccines have reached Phase IIb clinical trials, but results have often been disappointing. As an alternative to these Phase IIb field trials, the efficacy of candidate malaria vaccines can first be assessed through the deliberate exposure of participants to the bites of infectious mosquitoes (sporozoite challenge) or to an inoculum of blood-stage parasites (blood-stage challenge). With an increasing number of malaria vaccine candidates being developed, should human malaria challenge models be more widely used to reduce cost and time investments? This article reviews previous experience with both the sporozoite and blood-stage human malaria challenge models and provides future perspectives for these models in malaria vaccine development."
Designing the financial tools to promote universal access to AIDS care.,eng,Netherlands,S0167-6296(10)00139-6,2010,Leoni,Patrick,P,Luchini,Stéphane,S,S0167-6296(10)00139-6,"We argue that reluctance to invest in drug treatments to fight the AIDS epidemics in developing countries is largely motivated by severe losses occurring from the future albeit uncertain appearance of a curative vaccine. We design a set of securities generating full insurance coverage against such losses, while achieving full risk-sharing with vaccine development agencies. In a General Equilibrium framework, we show that those securities are demanded to improve social welfare in developing countries, to increase current investment in treatments and the provision of public goods. Even though designed for AIDS, those securities can also be applied to other epidemics such as malaria and tuberculosis, as well as any innovative treatment to fight orphan diseases."
Generation of humoral immune responses to multi-allele PfAMA1 vaccines; effect of adjuvant and number of component alleles on the breadth of response.,eng,United States,10.1371/journal.pone.0015391,2010,Kusi,Kwadwo A,KA,Remarque,Edmond J,EJ,10.1371/journal.pone.0015391,"There is increasing interest in multi-allele vaccines to overcome strain-specificity against polymorphic vaccine targets such as Apical Membrane Antigen 1 (AMA1). These have been shown to induce broad inhibitory antibodies in vitro and formed the basis for the design of three Diversity-Covering (DiCo) proteins with similar immunological effects. The antibodies produced are to epitopes that are shared between vaccine alleles and theoretically, increasing the number of component AMA1 alleles is expected to broaden the antibody response. A plateau effect could however impose a limit on the number of alleles needed to achieve the broadest specificity. Moreover, production cost and the vaccine formulation process would limit the number of component alleles. In this paper, we compare rabbit antibody responses elicited with multi-allele vaccines incorporating seven (three DiCos and four natural AMA1 alleles) and three (DiCo mix) antigens for gains in broadened specificity. We also investigate the effect of three adjuvant platforms on antigen specificity and antibody functionality. Our data confirms a broadened response after immunisation with DiCo mix in all three adjuvants. Higher antibody titres were elicited with either CoVaccine HT™ or Montanide ISA 51, resulting in similar in vitro inhibition (65-82%) of five out of six culture-adapted P. falciparum strains. The antigen binding specificities of elicited antibodies were also similar and independent of the adjuvant used or the number of vaccine component alleles. Thus neither the four extra antigens nor adjuvant had any observable benefits with respect to specificity broadening, although adjuvant choice influenced the absolute antibody levels and thus the extent of parasite inhibition. Our data confirms the feasibility and potential of multi-allele PfAMA1 formulations, and highlights the need for adjuvants with improved antibody potentiation properties for AMA1-based vaccines."
Prevention and management of chronic disease: a litmus test for health-systems strengthening in low-income and middle-income countries.,eng,England,S0140-6736(10)61353-0,2010,Samb,Badara,B,Etienne,Carissa,C,S0140-6736(10)61353-0,"National health systems need strengthening if they are to meet the growing challenge of chronic diseases in low-income and middle-income countries. By application of an accepted health-systems framework to the evidence, we report that the factors that limit countries' capacity to implement proven strategies for chronic diseases relate to the way in which health systems are designed and function. Substantial constraints are apparent across each of the six key health-systems components of health financing, governance, health workforce, health information, medical products and technologies, and health-service delivery. These constraints have become more evident as development partners have accelerated efforts to respond to HIV, tuberculosis, malaria, and vaccine-preventable diseases. A new global agenda for health-systems strengthening is arising from the urgent need to scale up and sustain these priority interventions. Most chronic diseases are neglected in this dialogue about health systems, despite the fact that non-communicable diseases (most of which are chronic) will account for 69% of all global deaths by 2030 with 80% of these deaths in low-income and middle-income countries. At the same time, advocates for action against chronic diseases are not paying enough attention to health systems as part of an effective response. Efforts to scale up interventions for management of common chronic diseases in these countries tend to focus on one disease and its causes, and are often fragmented and vertical. Evidence is emerging that chronic disease interventions could contribute to strengthening the capacity of health systems to deliver a comprehensive range of services-provided that such investments are planned to include these broad objectives. Because effective chronic disease programmes are highly dependent on well-functioning national health systems, chronic diseases should be a litmus test for health-systems strengthening."
Development in malarial vaccine: A review.,eng,Japan,356,2010,Dhanawat,M,M,Pandit,J K,JK,356,"Malaria, a vector-borne infectious disease, is currently a grave and universal concern with a significant social, economic, and human cost, mainly in developing countries. In addition, the emergence and spread of resistance to antimalarial therapies have further aggravated the global situation. Currently most of the research is focused on development of antimalarial drugs, drug resistance, and novel formulations to maximize the therapeutic effect. A number of novel molecules potentially active against malarial parasites are being developed. A vaccine is still viewed as a critical part of a long-term malaria control strategy. In the last several years various studies have shown significant progress in the development of vaccines against malaria. Advancement in vaccine technology and immunology is being used to develop malaria subunit vaccines that would open up new vistas for effective treatment and control of malaria. The development of an effective malaria vaccine represents one of the most important approaches that would provide a cost-effective intervention in addition to currently available malaria control strategies. An overview on progress in antimalarial vaccines is presented."
Long synthetic peptides for the production of vaccines and drugs: a technological platform coming of age.,eng,United States,2/50/50rv3,2010,Corradin,Giampietro,G,Verdini,Antonio,A,2/50/50rv3,"Long synthetic peptides (LSPs) have a variety of important clinical uses as synthetic vaccines and drugs. Techniques for peptide synthesis were revolutionized in the 1960s and 1980s, after which efficient techniques for purification and characterization of the product were developed. These improved techniques allowed the stepwise synthesis of increasingly longer products at a faster rate, greater purity, and lower cost for clinical use. A synthetic peptide approach, coupled with bioinformatics analysis of genomes, can tremendously expand the search for clinically relevant products. In this Review, we discuss efforts to develop a malaria vaccine from LSPs, among other clinically directed work."
Willingness to pay for three hypothetical malaria vaccines in Nigeria.,eng,United States,S0149-2918(10)00257-2,2010,Udezi,Waka Anthony,WA,Ihimekpen,Omoyeme Oluwatosin,OO,S0149-2918(10)00257-2,"BACKGROUND: Unlike some African countries that have reported a approximately 50% reduction in malaria deaths in recent years, Nigeria has shown no evidence of a systematic decline in malaria burden. An important and sustainable reduction in malaria burden cannot be achieved unless an effective and inexpensive malaria vaccine becomes available.OBJECTIVES: The goals of this study were to determine the willingness to pay (WTP) for 3 hypothetical malaria vaccines with different levels of protection (in years), effectiveness, and adverse effects; and to identify factors that influence the price that people are willing to pay in Nigeria.METHODS: With the aid of a questionnaire, a contingent valuation method using payment cards was used to elicit WTP values for 3 hypothetical malaria vaccines. Payment cards contained both a description of the features of the vaccine being evaluated and price options. The 3 hypothetical vaccines had the following characteristics: vaccine A was 75% effective, protected for 3 years, and was well tolerated; vaccine B was 85% effective, protected for 6 years, and was less well tolerated than vaccine A; and vaccine C was 95% effective and protected for 12 years, but was the least well tolerated. Participants consisted of a convenience sample of individuals who were at the pharmacy waiting area of the state-owned hospitals located in Benin City and Warri, Nigeria. Every third patient or caregiver who was in the pharmacy to fill a prescription was asked to take part in the study as they waited to see the pharmacist. If consent was not granted, the next person in line was approached to be interviewed. Linear multiple regression analysis and nonparametric Kruskal-Wallis, Mann-Whitney, or chi(2) test was applied in inferential analysis, where necessary, to investigate the effects of sociodemographic factors on WTP. Prices on payment cards were expressed in Nigerian naira (NGN 150.00 approximately US $1.00), but study results were expressed in US dollars.RESULTS: A total of 359 individuals aged &gt; or =18 years of 500 who were approached agreed to participate in the study, giving a response rate of 71.8%. Most of the participants (216/359; 60.2%) were women, and 48 of them were pregnant. Most respondents (299/359; 83.3%) had at least one malaria attack within the last year, and 27.3% (98/359) were hospitalized for malaria. The mean WTP for vaccine A was $6.77 and that for vaccine B was $6.70. Vaccine C was the least well accepted with a mean WTP of $5.06. Respondents were willing to pay significantly more for vaccine A (95% CI, $5.96-$7.57); thus, the WTP was significantly different for the 3 hypothetical malaria vaccines (P &lt; 0.001; Kruskal-Wallis statistic [kw] = 84.304). Dunn's multiple comparison test also indicated that the WTP values for vaccines A and B were significantly different from each other (P &lt; 0.05). There was also a significant difference between vaccine A or B versus C (P &lt; 0.001). All workers and those with a higher monthly income were willing to pay significantly more for vaccines A and B, but less for C (P &lt; 0.003). Those who preferred vaccine A (198/359; 55.2%) were willing to back their choice with a higher WTP (P &lt; 0.001).CONCLUSIONS: It appears that although malaria is a serious disease, the Nigerian people in this sample preferred and were willing to pay more for a vaccine that was well tolerated, even if its effectiveness and duration of protection against malaria were lower than those of a product that caused severe adverse effects. Interpretation of this study should be guided by the knowledge that differences exist between the study sample and the general population."
Questions for European Vaccine Initiative.,eng,United States,12342,2010,Leroy,Odile,O,Leroy,Odile,O,12342,
WHO policy development processes for a new vaccine: case study of malaria vaccines.,eng,England,1475-2875-9-182,2010,Milstien,Julie,J,Brooks,Alan,A,1475-2875-9-182,"BACKGROUND: Recommendations from the World Health Organization (WHO) are crucial to inform developing country decisions to use, or not, a new intervention. This article analysed the WHO policy development process to predict its course for a malaria vaccine.METHODS: The decision-making processes for one malaria intervention and four vaccines were classified through (1) consultations with staff and expert advisors to WHO's Global Malaria Programme (GMP) and Immunization, Vaccines and Biologicals Department (IVB); (2) analysis of the procedures and recommendations of the major policy-making bodies of these groups; (3) interviews with staff of partnerships working toward new vaccine availability; and (4) review and analyses of evidence informing key policy decisions.CASE DESCRIPTION: WHO policy formulation related to use of intermittent preventive treatment in infancy (IPTi) and the following vaccine interventions: Haemophilus influenzae type b conjugate vaccine (Hib), pneumococcal conjugate vaccine (PCV), rotavirus vaccine (RV), and human papillomavirus vaccine (HPV), five interventions which had relatively recently been through systematic WHO policy development processes as currently constituted, was analysed. Required information was categorized in three areas defined by a recent WHO publication on development of guidelines: safety and efficacy in relevant populations, implications for costs and population health, and localization of data to specific epidemiological situations.DISCUSSION AND EVALUATION: Data needs for a malaria vaccine include safety; the demonstration of efficacy in a range of epidemiological settings in the context of other malaria prevention interventions; and information on potential rebound in which disease increases subsequent to the intervention. In addition, a malaria vaccine would require attention to additional factors, such as costs and cost-effectiveness, supply and demand, impact of use on other interventions, and distribution issues.CONCLUSIONS: Although policy issues may be more complex for future vaccines, the lead-time between the date of product regulatory approval and a recommendation for its use in developing countries is decreasing. This study presents approaches to define in advance core data needs to support evidence-based decisions, to further decrease this lead-time, accelerating the availability of a malaria vaccine. Specific policy areas for which information should be collected are defined, including studying its use within the context of other malaria interventions."
