,title,language,country,id,year,month,day,affiliation,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,all_authors,abstract,url,useful,row_number
1,Syndrome packets and health worker training improve sexually transmitted disease case management in rural South Africa: randomized controlled trial.,eng,United States,11125896,2000,12,28,"South African Medical Research Council (Division of HIV Prevention and Vaccine Research) 1, Mtubatuba. harrisoa@mrc.ac.za",Harrison,A,A,Wilkinson,D,D,"A Harrison, S A Karim, K Floyd, C Lombard, M Lurie, N Ntuli, D Wilkinson","BACKGROUND: Sexually transmitted diseases (STD) are important co-factors in HIV transmission. We studied the impact of health worker training and STD syndrome packets (containing recommended drugs, condoms, partner notification cards and information leaflets) on the quality of STD case management in primary care clinics in rural South Africa.METHODS: A randomized controlled trial of five matched pairs of clinics compared the intervention with routine syndromic management. Outcomes were measured by simulated patients using standardized scripts, and included the proportion given recommended drugs; correctly case managed (given recommended drugs plus condoms and partner cards); adequately counselled; reporting good staff attitude; and consulted in privacy.RESULTS: At baseline, the quality of STD case management was similarly poor in both groups. Only 36 and 46% of simulated patients visiting intervention and control clinics, respectively, were given recommended drugs. After the intervention, intervention clinics provided better case management than controls: 88 versus 50% (P &lt; 0.01) received recommended drugs; 83 versus 12% (P &lt; 0.005) were correctly case managed; 68 versus 46% (P = 0.06) were adequately counselled; 84 versus 58% experienced good staff attitude (P = 0.07); and 92 versus 86% (P = 0.4) were consulted privately. A syndrome packet cost US$1.50; the incremental cost was US$6.80. The total intervention cost equalled 0.3% of annual district health expenditure.INTERPRETATION: A simple and affordable health service intervention achieved substantial improvements in STD case management. Although this is a critical component of STD control and can reduce HIV transmission, community-level interventions to influence health-seeking behaviour are also needed.",http://www.ncbi.nlm.nih.gov/pubmed/?term=11125896,no,1
2,The cost of integrating hepatitis B virus vaccine into national immunization programmes: a case study from Addis Ababa.,eng,England,11124244,2000,12,22,"Department of Biological Sciences, University of Warwick, Coventry, UK. jedmunds@phls.nhs.uk",Edmunds,W,W,Nokes,D,D,"W Edmunds, A Dejene, Y Mekonnen, M Haile, W Alemnu, D Nokes","National programmes of hepatitis B virus (HBV) vaccination are recommended by the World Health Organization for all countries. Countries suffering the highest burden of HBV disease are those most needy of universal vaccination, but are frequently of very low income and resources for health care are scarce. The introduction of HBV vaccination would inevitably stretch these resources further even with support of donor agencies. Thus an assessment of the cost-effectiveness of HBV vaccination is desirable to assist in decision making about resource allocation. We describe here a method for estimating the additional costs of introducing HBV vaccination into the Expanded Programme on Immunization (EPI) at a national level. Of fundamental importance is that this method enables costs to be assessed prior to the introduction of vaccination. We illustrate the method using a study carried out at the sub-national level, in the city of Addis Ababa, Ethiopia, but which can be expanded countrywide. The method, in brief, involved the use of a number of questionnaires which could be used to estimate the costs associated with the EPI programme from a large sample of the static clinics as well as from central sources. Since unit costs were collected along with the quantities of resources used and estimates of the capacity used for certain facilities (such as refrigerators), the additional cost of introducing HBV vaccine could be estimated largely by extrapolation of the resources used in vaccinating against diphtheria/pertussis/tetanus vaccine (which, similar to HBV vaccine, requires three doses). The estimation of costs is only part of the information required to make decisions on resource allocation, and should be used in association with measures of the burden of disease due to the infection in the community and effectiveness of the control programme at reducing this burden. The prediction of the latter, based upon a sound epidemiological understanding of the infection, is the subject of a forthcoming paper.",http://www.ncbi.nlm.nih.gov/pubmed/?term=11124244,no,2
18,The evidence base on the cost-effectiveness of malaria control measures in Africa.,eng,ENGLAND,10787646,2000,5,2,"Department of Public Health and Policy, London School of Hygiene and Tropical Medicine, UK. c.goodman@lshtm.ac.uk",Goodman,C A,CA,Mills,A J,AJ,"C A Goodman, A J Mills","This review assesses the range and quality of the evidence base on the cost-effectiveness of malaria prevention and treatment in sub-Saharan Africa. Fourteen studies are reviewed, covering insecticide-treated nets, residual spraying, chemoprophylaxis for children, chemoprophylaxis or intermittent treatment for pregnant women, a hypothetical vaccine, and changing the first line drug for treatment. The available evidence provides some guidance to decision-makers. However, the potential to inform policy debates is limited by the gross lack of information on the costs and effects of many interventions, the very small number of cost-effectiveness analyses available, the lack of evidence on the costs and effects of packages of measures, and the problems in generalizing or comparing studies that relate to specific settings and use different methodologies and outcome measures.This article reviews the range and quality of the evidence based on the cost-effectiveness of malaria prevention and treatment in sub-Saharan Africa. About 14 studies were analyzed, covering insecticide-treated nets, residual spraying, chemoprophylaxis for children, chemoprophylaxis or intermittent treatment for pregnant women, a hypothetical vaccine, and changing the first line drug for treatment. Results of the analyses demonstrate that highly cost-effective interventions exist for both prevention and treatment; that approaches to improving treatment are likely to be highly cost-effective; and that given the uncertainty and variation involved, the choice between childhood preventive interventions is not clear-cut due to the considerable overlap in their cost-effectiveness ranges. The review also cites several challenges in using cost-effectiveness estimates for policy-making. In conclusion, evidence from economic evaluations can assist policy-makers in identifying interventions representing the best value for money. Available studies provide some guidance to decision-makers. However, the current potential of economic evaluation to inform policy debates is limited by: the gross lack of information on the costs and effects of many interventions; the very small number of cost-effectiveness analyses available; the lack of evidence on the costs and effects of packages of measures; and the problems generalizing or comparing studies that relate to specific settings and use different methodologies and outcome measures.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10787646,no,4
23,Cost-effectiveness of iron supplementation and malaria chemoprophylaxis in the prevention of anaemia and malaria among Tanzanian infants.,eng,SWITZERLAND,10686744,2000,2,25,"Epidemiology and Biostatistics Unit, Hospital Clinic, Barcelona, Spain. alonso@medicina.ub.es",Alonzo González,M,M,Alonso,P L,PL,"M Alonzo González, C Menéndez, F Font, E Kahigwa, J Kimario, H Mshinda, M Tanner, X Bosch-Capblanch, P L Alonso","Prerequisites for effective interventions against severe anaemia and malaria among infants are economic evaluations to aid the setting of priorities and the making of health policy. In the present study we analysed the cost and effectiveness of three control strategies hypothetically delivered through the Expanded Programme on Immunization (EPI). For the prevention of severe anaemia and from the perspective of the health provider, the cost-effectiveness ratios were, respectively, US$ 8, US$ 9, and US$ 21 per disability-adjusted life year (DALY) for malaria chemoprophylaxis with Deltaprim (a combination of 3.125 mg pyrimethamine and 25 mg dapsone) + iron, Deltaprim alone, or iron supplementation alone. For malaria prevention, Deltaprim + iron cost US$ 9.7 per DALY and Deltaprim alone cost US$ 10.2 per DALY. From a sociocultural perspective the cost-effectiveness ratios ranged from US$ 9 to US$ 26 for severe anaemia prevention and from US$ 11 to US$ 12 for the prevention of clinical malaria. These ratios were highly cost-effective, as defined by the World Bank's proposed threshold of less than US$ 25 per DALY for comparative assessments. Furthermore, all the preventive interventions were less costly than the current malaria and anaemia control strategies that rely on clinical case management. This economic analysis supports the inclusion of both malaria chemoprophylaxis and iron supplementation delivered through EPI as part of the control strategies for these major killers of infants in parts of sub-Saharan Africa.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10686744,no,5
29,[Cost of tetanus toxoid injection using a jet-injector (Imule) in collective immunization in Senegal: comparison with injection using a syringe and resterilizable needle].,fre,FRANCE,10657777,2000,2,5,"Association aide Médecine Préventive (AMP), 28, rue du Dr-Roux, 75724 Paris Cedex 15, France.",Schlumberger,M,M,Lang,J,J,"M Schlumberger, I P Châtelet, H Lafarge, A Genêt, A B Gaye, A Monnereau, C Sanou, L Diawara, Y Gueye, J Lang","Needle-less jet injectors were developed by the US army after World War II. Their principal use, however, has been in the administration of lyophilized vaccines from multidose vials to at-risk populations in developing countries. In 1983, a hepatitis B epidemic occurred among customers of a beauty clinic in California (USA) following the use of jet-injectors, demonstrating a clear risk of cross-contamination associated with this technique. As a result, the WHO and Unicef stopped recommending jet-injectors for collective immunizations in developing countries. To eliminate the risk of contamination, Pasteur Mérieux Sérums et Vaccins (now Aventis Pasteur) developed, in 1990, jet-injectors for use with single-use vaccine cartridges. These injectors were tested for tetanus toxoid, DTP, influenza, hepatitis A and typhoid Vi vaccination. The immunogenic reaction was as strong and the injection as well tolerated as for injections using a standard needle and syringe. The additional cost of the Imule technique was evaluated in a district-wide (127,000 inhabitants) tetanus toxoid immunization program at Velingara, Senegal in 1993. The total cost was estimated to be 1.51 FF (76 F CSA, 0.32 US dollars) for one dose of tetanus vaccine given by needle and syringe and 2.41 FF (121 F CSA, 0.56 US dollars) for one dose given by Imule. Thus, the additional cost of injection by ImuleTM was 0.90 FF (45 F CSA, 0.21 US dollars). The cost of cross infection in sub-Saharan Africa has been estimated to be 2.37 FF (118 F CSA, 0.55 US dollars) per injection if injection practices are not supervised. Therefore, the Imule technique may be considered to be cost-effective. However, the technique is still not completely reliable, as shown by the total breakdown of four jet injectors during this vaccination session. Lyophilized vaccines have also not been tested in the field. Vaccinators prefer Imule, training is easy and immunization can be carried out on a day-to-day basis with no vaccine wastage. Imule is not yet in mass production, which would reduce costs. In the face of the ever-increasing risk of cross-contamination during vaccination sessions in sub-Saharan Africa, the Imule technique deserves considerable attention.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10657777,no,6
35,"A proposed vitamin A supplementation programme for South Africa--design, coverage and cost.",eng,South Africa,11680325,2001,10,30,"Child Health Unit, Department of Paediatrics and Child Health, University of Cape Town.",Saitowitz,R,R,Makan,B,B,"R Saitowitz, M Hendricks, J Fiedler, I le Roux, G Hussey, B Makan","BACKGROUND: A national survey of the micronutrient status of preschool children in South Africa established that vitamin A deficiency is a significant public health problem, requiring urgent attention. A number of immediate and long-term interventions were recommended, including the introduction of a vitamin A supplementation programme and a food fortification programme.OBJECTIVES: The aim of the study was to assist in the development and implementation of a national vitamin A supplementation programme at primary health care facilities for mothers and children. This was achieved by determining the design, coverage and cost of a national primary health care facility vitamin A supplementation programme.METHODS: Based on an extensive review of the literature, the main components of a primary health care facility vitamin A supplementation programme were identified. The annual, recurrent costs of each of the programme components were estimated for the nine provinces in South Africa. Immunisation coverage rates were used as a proxy for estimating the coverage of the programme.RESULTS: The main components of the programme were identified as: promotion, training, purchase of vitamin A capsules, distribution of vitamin A capsules to primary health care facilities, distribution of capsules to the programme beneficiaries, and monitoring and evaluation. The programme would operate from primary health care facilities and would target all children between 6 and 24 months of age and newly delivered mothers. It was estimated that the programme would cover 74% of children and 95% of postpartum women nationally. The total annual, recurrent cost of the national programme was estimated at R16.4 million. The bulk of the costs would include personnel costs, comprising 68% of the total costs. Other costs included promotion (27%), vitamin A capsules (4%) and training (1%). The cost of the programme would vary significantly by province, but the provinces' average total cost per beneficiary would be similar.CONCLUSION: A primary health care facility vitamin A supplementation programme has been designed and accompanied by an estimated overall cost and coverage for implementation. The findings of the study showed that the programme would be financially feasible and would reach the majority of children under 24 months of age. It is recommended that further research be undertaken to extend the programme to the more 'hard to reach' population using other strategies such as mass immunisation campaigns.",http://www.ncbi.nlm.nih.gov/pubmed/?term=11680325,no,7
53,Comparison of cost-effectiveness of preventive and reactive mass immunization campaigns against meningococcal meningitis in West Africa: a theoretical modeling analysis.,eng,England,11348706,2001,5,12,"Association pour l'Aide à la Médecine Préventive, 28 rue du Docteur Roux, 75724 Cedex 15, Paris, France. iparent@compuserve.com",Parent du Châtelet,I,I,da Silva,A,A,"I Parent du Châtelet, B D Gessner, A da Silva","For epidemic meningitis control in sub-Saharan Africa, the World Health Organization recommends a strategy of emergency vaccination with meningococcal A + C polysaccharide vaccine when epidemic thresholds are exceeded. An alternative strategy for areas without effective surveillance systems is mass preventive campaigns before outbreaks occur. A model was formulated to simulate epidemics and to compare the cost-effectiveness of these two strategies for the district of Matam, Senegal, where an actual preventive campaign was performed during 1997. The preventive strategy prevented 59% of the cases compared to 49% for the emergency strategy. The cost per case prevented was US$59 for the preventive strategy and US$133 for the reactive strategy, and the preventive strategy saved US$0.20 per habitant. Preventive meningococcal vaccination through mass campaigns prevented more outcomes at a lower cost, provided that the occurrence of an epidemic could be predicted within 3 years and that the vaccination coverage rates for the preventive and standard strategies were &gt; 70% and &lt; 94%, respectively. Sub-Saharan African countries without effective surveillance systems should consider mass preventive campaigns while awaiting an affordable conjugate vaccine.",http://www.ncbi.nlm.nih.gov/pubmed/?term=11348706,no,11
66,Model-based estimates of risks of disease transmission and economic costs of seven injection devices in sub-Saharan Africa.,eng,Switzerland,12481207,2002,12,14,"National Immunization Program, Centers for Disease Control and Prevention, Atlanta, GA, USA. dce3@cdc.gov",Ekwueme,Donatus U,DU,Chen,Robert T,RT,"Donatus U Ekwueme, Bruce G Weniger, Robert T Chen","OBJECTIVE: To investigate and compare seven types of injection devices for their risks of iatrogenic transmission of bloodborne pathogens and their economic costs in sub-Saharan Africa.METHODS: Risk assumptions for each device and cost models were constructed to estimate the number of new hepatitis B virus (HBV) and human immunodeficiency virus (HIV) infections resulting from patient-to-patient, patient-to-health care worker, and patient-to-community transmission. Costs of device purchase and usage were derived from the literature, while costs of direct medical care and lost productivity from HBV and HIV disease were based on data collected in 1999 in Côte d'Ivoire, Ghana, and Uganda. Multivariate sensitivity analyses using Monte Carlo simulation characterized uncertainties in model parameters. Costs were summed from both the societal and health care system payer's perspectives.FINDINGS: Resterilizable and disposable needles and syringes had the highest overall costs for device purchase, usage, and iatrogenic disease: median US dollars 26.77 and US dollars 25.29, respectively, per injection from the societal perspective. Disposable-cartridge jet injectors and automatic needle-shielding syringes had the lowest costs, US dollars 0.36 and US dollars 0.80, respectively. Reusable-nozzle jet injectors and auto-disable needle and syringes were intermediate, at US dollars 0.80 and US dollars 0.91, respectively, per injection.CONCLUSION: Despite their nominal purchase and usage costs, conventional needles and syringes carry a hidden but huge burden of iatrogenic disease. Alternative injection devices for the millions of injections administered annually in sub-Saharan Africa would be of value and should be considered by policy-makers in procurement decisions.",http://www.ncbi.nlm.nih.gov/pubmed/?term=12481207,no,13
72,Urgent call for action on meningitis in Africa--vaccine price and shortage are major obstacles.,eng,Switzerland,12385145,2002,10,19,NA,NA,NA,NA,NA,NA,NA,NA NA,,http://www.ncbi.nlm.nih.gov/pubmed/?term=12385145,no,15
94,Economic analyses of rubella and rubella vaccines: a global review.,eng,Switzerland,12075361,2002,6,21,"Task Force for Child Survival and Development, Decatur, GA 30030, USA. Ahinman@taskforce.org",Hinman,Alan R,AR,Kandola,Kami,K,"Alan R Hinman, Beryl Irons, Merle Lewis, Kami Kandola","OBJECTIVE: To investigate whether the incorporation of rubella vaccine into immunization programmes in developing countries is economically justified.METHODS: A MEDLINE search was conducted for articles published between 1970 and 2000 that dealt with economic analyses of rubella and rubella-containing vaccines. The Eastern Mediterranean, South-East Asia, and Africa regional Index Medicus databases and the LILACS database for Latin America and the Caribbean were also searched.FINDINGS: For developed countries, five cost- benefit analyses of rubella vaccine and five of measles-mumps-rubella vaccine as well as two cost-effectiveness analyses were found. For developing countries, five cost analyses and five cost-benefit analyses were found. All the cost-benefit analyses had a benefit:cost ratio greater than 1 and the cost-effectiveness studies indicated that rubella immunization was a cost-effective means of reducing the impact of congenital rubella syndrome. However, the methodologies were not standardized.CONCLUSION: The data support the inclusion of rubella vaccine in the immunization programmes of both developing and developed countries and indicate economic benefits comparable to those associated with hepatitis B vaccine and Haemophilus influenzae type b vaccine. More studies should be carried out on costs for care and immunization using standardized methodologies and locally obtained information.",http://www.ncbi.nlm.nih.gov/pubmed/?term=12075361,no,16
