"","title","language","country","id","year","month","day","affiliation","first _author_last_name","first _author_first_name","first _author_initials","last _author_last_name","last _author_first_name","last _author_initials","all_authors","abstract","url"
"1","Syndrome packets and health worker training improve sexually transmitted disease case management in rural South Africa: randomized controlled trial.","eng","United States","11125896",2000,12,28,"South African Medical Research Council (Division of HIV Prevention and Vaccine Research) 1, Mtubatuba. harrisoa@mrc.ac.za","Harrison","A","A","Wilkinson","D","D","A Harrison, S A Karim, K Floyd, C Lombard, M Lurie, N Ntuli, D Wilkinson","BACKGROUND: Sexually transmitted diseases (STD) are important co-factors in HIV transmission. We studied the impact of health worker training and STD syndrome packets (containing recommended drugs, condoms, partner notification cards and information leaflets) on the quality of STD case management in primary care clinics in rural South Africa.METHODS: A randomized controlled trial of five matched pairs of clinics compared the intervention with routine syndromic management. Outcomes were measured by simulated patients using standardized scripts, and included the proportion given recommended drugs; correctly case managed (given recommended drugs plus condoms and partner cards); adequately counselled; reporting good staff attitude; and consulted in privacy.RESULTS: At baseline, the quality of STD case management was similarly poor in both groups. Only 36 and 46% of simulated patients visiting intervention and control clinics, respectively, were given recommended drugs. After the intervention, intervention clinics provided better case management than controls: 88 versus 50% (P &lt; 0.01) received recommended drugs; 83 versus 12% (P &lt; 0.005) were correctly case managed; 68 versus 46% (P = 0.06) were adequately counselled; 84 versus 58% experienced good staff attitude (P = 0.07); and 92 versus 86% (P = 0.4) were consulted privately. A syndrome packet cost US$1.50; the incremental cost was US$6.80. The total intervention cost equalled 0.3% of annual district health expenditure.INTERPRETATION: A simple and affordable health service intervention achieved substantial improvements in STD case management. Although this is a critical component of STD control and can reduce HIV transmission, community-level interventions to influence health-seeking behaviour are also needed.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11125896"
"2","The cost of integrating hepatitis B virus vaccine into national immunization programmes: a case study from Addis Ababa.","eng","England","11124244",2000,12,22,"Department of Biological Sciences, University of Warwick, Coventry, UK. jedmunds@phls.nhs.uk","Edmunds","W","W","Nokes","D","D","W Edmunds, A Dejene, Y Mekonnen, M Haile, W Alemnu, D Nokes","National programmes of hepatitis B virus (HBV) vaccination are recommended by the World Health Organization for all countries. Countries suffering the highest burden of HBV disease are those most needy of universal vaccination, but are frequently of very low income and resources for health care are scarce. The introduction of HBV vaccination would inevitably stretch these resources further even with support of donor agencies. Thus an assessment of the cost-effectiveness of HBV vaccination is desirable to assist in decision making about resource allocation. We describe here a method for estimating the additional costs of introducing HBV vaccination into the Expanded Programme on Immunization (EPI) at a national level. Of fundamental importance is that this method enables costs to be assessed prior to the introduction of vaccination. We illustrate the method using a study carried out at the sub-national level, in the city of Addis Ababa, Ethiopia, but which can be expanded countrywide. The method, in brief, involved the use of a number of questionnaires which could be used to estimate the costs associated with the EPI programme from a large sample of the static clinics as well as from central sources. Since unit costs were collected along with the quantities of resources used and estimates of the capacity used for certain facilities (such as refrigerators), the additional cost of introducing HBV vaccine could be estimated largely by extrapolation of the resources used in vaccinating against diphtheria/pertussis/tetanus vaccine (which, similar to HBV vaccine, requires three doses). The estimation of costs is only part of the information required to make decisions on resource allocation, and should be used in association with measures of the burden of disease due to the infection in the community and effectiveness of the control programme at reducing this burden. The prediction of the latter, based upon a sound epidemiological understanding of the infection, is the subject of a forthcoming paper.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11124244"
"3","Africa matters.","eng","UNITED STATES","11119427",2000,12,19,NA,"Clinton","W J","WJ","Clinton","W J","WJ","W J Clinton","","http://www.ncbi.nlm.nih.gov/pubmed/?term=11119427"
"4","The limitations of a feed/water based heat-stable vaccine delivery system forNnewcastle disease-control strategies for backyard poultry flocks in sub-Saharan Africa.","eng","NETHERLANDS","11087958",2000,11,23,"Department of Agriculture, Veterinary Epidemiology and Economics Research Unit, The University of Reading, Earley Gate, P.O. Box 236, RG6 6AT, Reading, UK.","Oakeley","R D","RD","Oakeley","R D","RD","R D Oakeley","Backyard poultry are a major contributor to egg and meat consumption in sub-Saharan Africa and an important source of income for many rural producers. Production throughout Africa is severely constrained by continuing outbreaks of Newcastle disease. The livestock-service sector lacks the resources and infrastructure to control Newcastle disease in extensive flocks without the active participation of producers. The development of 'heat-stable' Newcastle disease vaccines offers a potential solution. Trials over the last two decades have examined the effectiveness of heat-stable vaccines in both controlling Newcastle disease and in involving the rural community in control strategies. Constraints highlighted include the reliability of the vaccines using alternative delivery methods and the capacity of rural communities to apply those methods. The search for appropriate Newcastle disease-control strategies in extensive poultry systems should focus on policies and methodologies that incorporate the wider concerns and priorities of extensive producers.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11087958"
"5","The Third World can afford cost-price A.R.T.","eng","SOUTH AFRICA","11081127",2000,11,18,NA,"Bateman","C","C","Bateman","C","C","C Bateman","","http://www.ncbi.nlm.nih.gov/pubmed/?term=11081127"
"6","HIV-1C vaccine trial planned for South Africa.","eng","ENGLAND","11073034",2000,11,10,NA,"Ramsay","S","S","Ramsay","S","S","S Ramsay","","http://www.ncbi.nlm.nih.gov/pubmed/?term=11073034"
"7","Tropical theileriosis in Tunisia: epidemiology and control.","eng","ITALY","11071539",2000,11,9,"Service de Parasitologie, Ecole Nationale de Médecine Vétérinaire, Tunisia.","Darghouth","M A","MA","Kilan","M","M","M A Darghouth, A Bouattour, M Kilan","In Tunisia, tropical theileriosis (Theileria annulata infection of cattle) is one of the major diseases affecting cattle in the summer. Each year about 2,500 clinical cases are recorded in the country, mainly in pure-bred animals. An attempt was made in the North of Tunisia to estimate the direct cost related to clinical cases of TT. In the endemic regions, three states of endemicity were described according to cattle age categories at highest disease risk: (i) endemic stability, (ii) low endemic instability, (iii) high endemic instability. The characterisation of these endemic situations, which are conditioned by the levels of the vector tick population and the quantitative aspects of the infection in ticks, are highly relevant for the development of a live attenuated cell line vaccine against TT targeting the cattle population at disease risk in Tunisia. A research programme was set up to develop the attenuation of four local parasite stocks. Two cell lines infected with two distinct T. annulata stocks were tested in the field on pure-bred animals of different age groups from regions with high disease incidence. The vaccination with each of the two cell lines showed a high efficacy. However significant differences in vaccine reactions rates were observed between the two attenuated cell lines emphasising the importance of achieving an optimal balance between protection and vaccine tolerance particularly in pure-bred lactating cows.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11071539"
"8","HIV-1 and its causal relationship to immunosuppression and nervous system disease in AIDS: a review.","eng","UNITED STATES","11070121",2000,11,9,"Department of Pathology, University of Illinois at Chicago, Chicago, IL, USA.","Sotrel","A","A","Dal Canto","M C","MC","A Sotrel, M C Dal Canto","Acquired immune deficiency syndrome (AIDS), caused by human immunodeficiency virus type 1 (HIV-1), has claimed more than 10 million lives over the past 15 years. There are approximately 30 million HIV-positive people worldwide, 89% of whom reside in sub-Saharan Africa and Asia. The intricate relationship between the virus and HIV-related human multisystem pathology prompted scientists to modify many previously established concepts about infectious diseases and immunology, and to test new ones. The results of this work helped resolve many, albeit not all, long-standing problems concerning HIV-1 immune escape, its cellular tropism, and pathogenesis of HIV-related immunosuppression and nervous system disease. The most impressive advances have been made in antiretroviral drug treatment of HIV infection, which has resulted in dramatically reducing AIDS-related mortality, morbidity, and perinatal transmission. However, considering the magnitude of the worldwide HIV-AIDS pandemic, prohibitive cost and unusually exacting nature of combination drug treatment, as well as the emergence of drug-resistant HIV mutants, the disease and virus remain formidable and unpredictable, particularly in the area of prevention and vaccine development. Here, we have reviewed the most pertinent recently published studies of various aspects of HIV/AIDS intended to answer the following questions: what have we learned and what remains to be determined regarding this unorthodox viral disorder?","http://www.ncbi.nlm.nih.gov/pubmed/?term=11070121"
"9","Urban community health workers: selection, training, practice and outcomes.","eng","SOUTH AFRICA","11040587",2000,10,21,"University of the Witwatersrand.","Ramontja","R M","RM","Khomo","N E","NE","R M Ramontja, L A Wagstaff, N E Khomo","The role, desirability and success of community health workers is debated. Conflicting reports have highlighted important concerns and provided guidelines. Particular issues identified are the necessity for both community and health professional input to determine needs and to ensure an acceptable selection process, training, support and accountability. Such steps were followed in the Greater Soweto Maternal Child Project. These are described together with the results achieved. Eight trained Soweto community health workers centered at Chiawelo Clinic and providing home based and neighbourhood health care undertake supervised Tuberculosis treatment, tracing of immunisation defaulters, and health education based on GOBI FFF (Grant JP, UNICEF:1985;94) and &quot;Facts for Life&quot; (UNICEF 1989-1993). They form a link between the community and government health care services and also other available resources. Over a period of 26 months, working from their own homes, they provided 14,254 health related services and in addition undertook 14,501 neighbourhood home visits. They were responsible for 8,710 referrals to the clinic or other relevant agencies for assistance. Incremental training has included HIV/AIDS counselling, advice on family planning with regular report back sessions and discussions. Participatory management involves all major role players. The community health workers have the approval and support of the Local Soweto Health Authority, the Civic Association and the communities they serve. On completion of the project, all were redeployed into local health service posts where it is intended that they form the nucleus of an expanding service. Delegation of selected tasks allows for cost effective functioning of more highly trained staff, an improved service and better use of available resources.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11040587"
"10","The hearing profile of Nigerian school children.","eng","IRELAND","11035173",2000,10,18,"Institute of Child Health and Primary Care, College of Medicine, University of Lagos, P.O. Box 75130, Lagos, Nigeria. phonics@compuserve.com","Olusanya","B O","BO","Ijaduola","G T","GT","B O Olusanya, A A Okolo, G T Ijaduola","The paucity of up-to-date and representative epidemiological data on hearing disorders in Nigeria has been observed as undermining the effective advocacy of prevention initiatives. This study attempts to address this problem by evaluating the prevalence and pattern of hearing impairment in school entrants. Parental interviews, otoscopy, pure-tone audiometric screening (frequency 0.5-4 kHz) and tympanometric examinations were conducted for a representative sample of 359 school children in an inner city area of Lagos. The prevalence of hearing loss was 13.9%. Middle ear abnormalities were noted in 20.9% of the study population, of which 18.7% were reported with otitis media with effusion. Impacted cerumen, documented in 189 children (52.6%), was the most common disorder. It showed significant association with hearing loss (P&lt;0.001) and school performance (P&lt;0.01). Tympanic membrane abnormalities were observed in 144 (40.1%) children. Of these, 45 (31.3%) showed abnormal tympanograms while 28 (19.4%) reported hearing loss (P&lt;0.05). The early detection and management of hearing problems is relatively rare, thus precluding the determination of possible aetiological factors for the observed abnormalities. Poor public awareness, dearth of relevant facilities and the lack of early screening programmes are major known contributory factors. The well established national immunisation programme offers a cost-effective platform within the primary health-care system for addressing the high prevalence of hearing abnormalities in school children.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11035173"
